division, categoria, equipo_local, equipo_visitante, fecha, fase, ronda
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,CONDORS NEGRO,KATIOS,2026-02-14T07:00,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,AVS BLANCO,CONDORS AZUL,2026-02-14T07:50,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,RINOS-ANDINOS,VRAPTOR,2026-02-14T08:40,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-12,AVS-RABBITS,CONDORS,2026-02-14T09:30,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-8,KATIOS,CONDORS,2026-02-14T10:20,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-12,KATIOS,AVS-RABBITS,2026-02-14T11:10,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-8,CONDORS,H2S LIONS,2026-02-14T12:00,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-12,KATIOS,CONDORS,2026-02-14T13:40,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-8,AVS-RABBITS,H2S LIONS,2026-02-14T14:30,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-8,AVS-RABBITS,CONDORS,2026-02-15T08:00,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,CONDORS AZUL,RINOS-ANDINOS,2026-02-15T09:30,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,CONDORS NEGRO,VRAPTOR,2026-02-15T10:20,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,KATIOS,AVS BLANCO,2026-02-15T11:10,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,CONDORS AZUL,CONDORS NEGRO,2026-02-15T12:00,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,VRAPTOR,AVS BLANCO,2026-02-15T12:50,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,RINOS-ANDINOS,KATIOS,2026-02-15T13:40,REGULAR,1
